dataset_id,dataset_label,method_id,method_label,method_category,metric_id,metric_label,direction,descriptive_median,identity_count,output_mode,aggregation,source
D1,FaceScape,full,FrugalFace3D-Lite,本文模型,h_mae,H-MAE,lower_is_better,0.159496,20,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,full,FrugalFace3D-Lite,本文模型,a_mae,A-MAE,lower_is_better,0.117246,20,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,full,FrugalFace3D-Lite,本文模型,lpips,LPIPS,lower_is_better,0.152289,20,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,full,FrugalFace3D-Lite,本文模型,sface,SFACE,higher_is_better,0.583181,19,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,condition0,无显式条件残差（NoCond）,条件消融对照,h_mae,H-MAE,lower_is_better,0.162489,20,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,condition0,无显式条件残差（NoCond）,条件消融对照,a_mae,A-MAE,lower_is_better,0.117262,20,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,condition0,无显式条件残差（NoCond）,条件消融对照,lpips,LPIPS,lower_is_better,0.151951,20,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,condition0,无显式条件残差（NoCond）,条件消融对照,sface,SFACE,higher_is_better,0.581927,19,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,b_lite_ft,B-lite 同任务微调,同任务适配对照,h_mae,H-MAE,lower_is_better,0.121156,20,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,b_lite_ft,B-lite 同任务微调,同任务适配对照,a_mae,A-MAE,lower_is_better,0.115549,20,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,b_lite_ft,B-lite 同任务微调,同任务适配对照,lpips,LPIPS,lower_is_better,0.149902,20,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,b_lite_ft,B-lite 同任务微调,同任务适配对照,sface,SFACE,higher_is_better,0.582430,19,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,b_lite,固定权重 B-lite,固定权重基线,h_mae,H-MAE,lower_is_better,0.194946,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,b_lite,固定权重 B-lite,固定权重基线,a_mae,A-MAE,lower_is_better,0.121006,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,b_lite,固定权重 B-lite,固定权重基线,lpips,LPIPS,lower_is_better,0.152457,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,b_lite,固定权重 B-lite,固定权重基线,sface,SFACE,higher_is_better,0.576113,19,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,lama,LaMa-UV,通用修复参照,h_mae,H-MAE,lower_is_better,0.167394,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,lama,LaMa-UV,通用修复参照,a_mae,A-MAE,lower_is_better,0.117459,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,lama,LaMa-UV,通用修复参照,lpips,LPIPS,lower_is_better,0.151714,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,lama,LaMa-UV,通用修复参照,sface,SFACE,higher_is_better,0.602142,19,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,zits,ZITS-UV,通用修复参照,h_mae,H-MAE,lower_is_better,0.312142,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,zits,ZITS-UV,通用修复参照,a_mae,A-MAE,lower_is_better,0.135015,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,zits,ZITS-UV,通用修复参照,lpips,LPIPS,lower_is_better,0.153321,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,zits,ZITS-UV,通用修复参照,sface,SFACE,higher_is_better,0.569281,19,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,h_mae,H-MAE,lower_is_better,0.193537,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,a_mae,A-MAE,lower_is_better,0.116131,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,lpips,LPIPS,lower_is_better,0.144786,20,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D1,FaceScape,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,sface,SFACE,higher_is_better,0.587142,19,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,full,FrugalFace3D-Lite,本文模型,h_mae,H-MAE,lower_is_better,0.198950,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,full,FrugalFace3D-Lite,本文模型,a_mae,A-MAE,lower_is_better,0.125443,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,full,FrugalFace3D-Lite,本文模型,lpips,LPIPS,lower_is_better,0.108275,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,full,FrugalFace3D-Lite,本文模型,sface,SFACE,higher_is_better,0.761123,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,condition0,无显式条件残差（NoCond）,条件消融对照,h_mae,H-MAE,lower_is_better,0.192954,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,condition0,无显式条件残差（NoCond）,条件消融对照,a_mae,A-MAE,lower_is_better,0.125348,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,condition0,无显式条件残差（NoCond）,条件消融对照,lpips,LPIPS,lower_is_better,0.108133,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,condition0,无显式条件残差（NoCond）,条件消融对照,sface,SFACE,higher_is_better,0.760556,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
